timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
323522744,323522419,-0.0042751865,0.0038412863,0.0014321161,0.29439074,0.0,0.0,0.0,-1.0
323527844,323527493,-0.0026884074,0.0050870017,0.0041965027,0.29439074,0.0,0.0,0.0,-1.0
323529091,323528763,-0.005199453,0.0047611287,0.0021652014,0.29439074,0.0,0.0,0.0,-1.0
323532964,323532581,-0.002439531,0.0070941923,0.004452861,0.2931075,0.0,0.0,0.0,-1.0
323538190,323537862,-0.0012954854,0.010367701,0.0050362903,0.2931075,0.0,0.0,0.0,-1.0
323539481,323539151,-0.002513014,0.009428231,0.005783201,0.2931075,0.0,0.0,0.0,-1.0
323543228,323542906,-0.00060969737,0.009644465,0.00069245015,0.2931075,0.0,0.0,0.0,-1.0
323546968,323546633,-0.0021258183,0.00893024,0.004899091,0.2931075,0.0,0.0,0.0,-1.0
323550810,323550437,-0.0007316833,0.010444467,0.0023061913,0.2931075,0.0,0.0,0.0,-1.0
323554497,323554157,-0.0023047077,0.009904748,0.0015189385,0.2931075,0.0,0.0,0.0,-1.0
323557006,323556675,0.0006262784,0.0107946,0.0005420492,0.2931075,0.0,0.0,0.0,-1.0
323560901,323560486,-0.008120457,0.010481471,0.0020361063,0.29316333,0.0,0.0,0.0,-1.0
323564623,323564283,-0.00891691,0.010910679,0.0032016435,0.29316333,0.0,0.0,0.0,-1.0
323568419,323568091,-0.0063146492,0.009321952,0.003512852,0.29316333,0.0,0.0,0.0,-1.0
323600255,323599811,0.0050918013,0.007183273,0.007250626,0.30070388,0.0,0.0,0.0,-1.0
323603947,323603609,0.0031412863,0.006440046,0.0034938515,0.30070388,0.0,0.0,0.0,-1.0
323606472,323606149,0.005276682,0.009637434,0.0061587202,0.30070388,0.0,0.0,0.0,-1.0
323610370,323609956,0.0029842886,0.0062217503,0.00431517,0.30070388,0.0,0.0,0.0,-1.0
323615360,323615027,-0.007926884,0.0071922936,0.0038534387,0.30070388,0.0,0.0,0.0,-1.0
323616635,323616304,-0.00823237,0.0061968793,0.0027404607,0.30070388,0.0,0.0,0.0,-1.0
323620781,323620400,-0.003760319,0.009876815,0.0046714176,0.30043033,0.0,0.0,0.0,-1.0
323624458,323624128,-0.0034032194,0.012219643,0.00420351,0.30043033,0.0,0.0,0.0,-1.0
323628247,323627840,-0.00264269,0.012710003,0.00355271,0.30043033,0.0,0.0,0.0,-1.0
323630727,323630382,-0.0020267149,0.01339567,0.0037634517,0.30043033,0.0,0.0,0.0,-1.0
323635666,323635343,0.00042087375,0.01194068,0.0012258551,0.30043033,0.0,0.0,0.0,-1.0
323638248,323637863,-0.0006068008,0.01049125,0.004230875,0.30043033,0.0,0.0,0.0,-1.0
323642069,323641676,-0.0066929483,0.01034148,0.00245965,0.29953665,0.0,0.0,0.0,-1.0
323644528,323644205,-0.0064343787,0.010209165,0.0034873297,0.29953665,0.0,0.0,0.0,-1.0
323729530,323729200,-0.005033919,0.0055795903,0.0012712998,0.3016512,0.0,0.0,0.0,-1.0
323732069,323731742,-0.00476759,0.004442926,0.0008476412,0.3016512,0.0,0.0,0.0,-1.0
