timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
321897339,32767,32767,32767,32767,32767,-5
321902626,32767,32767,32767,7,-44,-12
321907652,32767,32767,32767,32767,32767,-18
321912610,32767,32767,32767,32767,-19,-1
321917607,32767,32767,32767,32767,32767,32767
321922694,32767,32767,32767,32767,7,-2
321927774,32767,32767,32767,32767,32767,32767
321932843,32767,32767,32767,32767,32767,-8
321937910,32767,32767,32767,32767,-20,32767
321942984,32767,32767,32767,32767,32767,-15
322075053,32767,32767,32767,32767,6,-25
322080084,32767,32767,32767,32767,32767,32767
322085079,32767,32767,32767,32767,32767,-18
322090153,32767,32767,32767,32767,-19,32767
322095224,32767,32767,32767,32767,32767,-26
322100304,32767,32767,32767,32767,5,32767
322105371,32767,32767,32767,32767,32767,-1
322110482,32767,32767,32767,32767,32767,32767
322115526,32767,32767,32767,10,-20,-32
322120602,32767,32767,32767,32767,32767,32767
322125681,32767,32767,32767,32767,10,-29
322146184,32767,32767,32767,32767,32767,-34
322151311,32767,32767,32767,32767,6,32767
322156217,32767,32767,32767,32767,32767,-2
322161243,32767,32767,32767,32767,32767,32767
322166257,32767,32767,32767,7,-17,32767
322171340,32767,32767,32767,32767,32767,-32
322288057,32767,32767,32767,32767,32767,32767
322293135,32767,32767,32767,32767,-17,-16
322298204,32767,32767,32767,32767,32767,32767
322303316,32767,32767,32767,32767,32767,-4
322308355,32767,32767,32767,32767,-43,32767
322313666,32767,32767,32767,32767,32767,-20
322318667,32767,32767,32767,32767,-21,32767
322323671,32767,32767,32767,32767,32767,-12
322328664,32767,32767,32767,9,6,32767
322333727,32767,32767,32767,32767,32767,-19
322338805,32767,32767,32767,32767,32767,32767
322374328,32767,32767,32767,32767,32767,-13
322379401,32767,32767,32767,32767,9,32767
322384475,32767,32767,32767,32767,32767,-3
322526554,32767,32767,32767,32767,32767,-17
322531650,32767,32767,32767,32767,6,32767
322536701,32767,32767,32767,32767,32767,-20
322541785,32767,32767,32767,32767,32767,-4
322546858,32767,32767,32767,32767,-17,32767
322551934,32767,32767,32767,9,32767,32767
322557273,32767,32767,32767,32767,5,-29
322562274,32767,32767,32767,32767,32767,-8
322567231,32767,32767,32767,32767,32767,32767
322572274,32767,32767,32767,32767,-19,32767
322577297,32767,32767,32767,32767,32767,-32
322582381,32767,32767,32767,32767,6,-10
