timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
318690219,0.6863158,-0.0034383398,0.0024406726,0.7272915,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318695340,0.68631184,-0.0034528328,0.002438727,0.72729516,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318700375,0.6863028,-0.0034280876,0.0024441483,0.72730386,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318705434,0.6863113,-0.0034075547,0.0024565565,0.7272958,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318710741,0.68632346,-0.0034353174,0.0024451714,0.7272842,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318715729,0.6863136,-0.0034460688,0.0024443069,0.7272935,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318720754,0.6862959,-0.0034217504,0.0024500967,0.7273103,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318725740,0.68630844,-0.0034173955,0.0024607813,0.72729844,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318730806,0.686324,-0.0034421878,0.002452302,0.72728366,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318735881,0.68630373,-0.0034479478,0.0024462303,0.7273028,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318740962,0.6862831,-0.003430025,0.002452601,0.72732234,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318746030,0.6863076,-0.0034370024,0.0024590108,0.7272992,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318751104,0.68632096,-0.0034553376,0.002450347,0.7272866,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318756195,0.68628967,-0.0034422404,0.0024498042,0.7273161,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318761280,0.68628144,-0.0034361181,0.0024534774,0.72732383,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318766331,0.68631214,-0.0034417522,0.0024619868,0.7272948,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318771405,0.68631727,-0.0034463992,0.0024614378,0.72729003,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318776502,0.68629026,-0.0034309374,0.0024524278,0.7273156,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318781565,0.68628633,-0.0034284915,0.002450597,0.7273193,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318786636,0.68631166,-0.0034355049,0.0024574336,0.72729534,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318792009,0.6863074,-0.0034310946,0.0024604006,0.72729945,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318796979,0.68628424,-0.0034235034,0.0024505705,0.72732127,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318801966,0.6862931,-0.0034348394,0.0024394675,0.7273129,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318806966,0.68631214,-0.0034428397,0.0024565966,0.72729486,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318812020,0.6862941,-0.0034346413,0.0024678577,0.7273119,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318817077,0.686285,-0.0034300305,0.0024488505,0.7273205,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318822166,0.68630344,-0.0034384404,0.0024366358,0.7273032,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318827225,0.68630916,-0.0034388306,0.0024573314,0.7272977,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318832317,0.6862906,-0.0034279884,0.0024682505,0.7273152,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318842449,0.6863088,-0.0034304517,0.002432642,0.7272981,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318847521,0.686297,-0.0034291893,0.0024596252,0.7273092,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318852598,0.68628263,-0.0034288478,0.0024686179,0.7273228,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318857674,0.6863004,-0.003426063,0.0024421155,0.72730607,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318862755,0.68631023,-0.0034230908,0.0024316718,0.7272969,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318908420,0.68629175,-0.0034344152,0.0024484969,0.7273141,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318913493,0.68629676,-0.0034444577,0.0024439553,0.72730947,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318918576,0.68631154,-0.0034221308,0.0024338525,0.72729564,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318923639,0.68630946,-0.0034085524,0.0024416244,0.7272976,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318928725,0.68630373,-0.0034320834,0.0024479805,0.72730285,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318949012,0.68631434,-0.003439225,0.0024377948,0.7272929,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318954356,0.6863041,-0.0034451126,0.0024318015,0.72730255,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318959351,0.68630177,-0.0034130604,0.0024434316,0.7273049,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318964370,0.6863193,-0.0034137878,0.0024407487,0.7272883,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318969351,0.6863202,-0.0034385377,0.0024235118,0.7272874,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318974388,0.6862956,-0.0034365538,0.0024290576,0.7273106,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318979480,0.6862951,-0.003414822,0.0024429767,0.72731113,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319025139,0.6863266,-0.0034058422,0.002437127,0.7272814,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319030208,0.6863076,-0.0034091936,0.0024347785,0.72729933,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319035304,0.68628716,-0.0034057584,0.0024269486,0.7273187,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319040573,0.68630695,-0.0034056522,0.0024248199,0.7273,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319045591,0.68632287,-0.0034057142,0.0024346462,0.72728497,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319050550,0.6863043,-0.0034077142,0.002433103,0.72730255,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319055616,0.68629366,-0.0034070646,0.0024151858,0.72731256,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319060672,0.68631387,-0.0034037286,0.002407941,0.72729355,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319065729,0.6863216,-0.003406693,0.0024273023,0.7272862,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319070813,0.6863011,-0.0034062178,0.002426827,0.7273056,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319075890,0.68630046,-0.0034027516,0.002403547,0.7273063,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319080957,0.68631744,-0.0034037756,0.0024074456,0.7272903,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319086025,0.6863087,-0.003406721,0.00243506,0.7272984,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319091112,0.6862958,-0.0034059987,0.0024283177,0.72731054,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319096176,0.68631095,-0.0034003183,0.002401975,0.72729635,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319101258,0.68631643,-0.0034000338,0.0024159513,0.72729117,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319106332,0.68630207,-0.0034072401,0.0024433313,0.72730464,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319111412,0.68630236,-0.0034076709,0.002428575,0.72730434,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319126811,0.6863018,-0.0034166658,0.002440606,0.72730476,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319131748,0.68630856,-0.0034099137,0.0024220909,0.72729856,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319136802,0.68632114,-0.00339888,0.0023976692,0.7272868,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319141857,0.68630844,-0.003403372,0.0024157516,0.72729874,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319146920,0.6863058,-0.003422154,0.0024258115,0.72730106,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319152011,0.6863128,-0.003414169,0.0024074183,0.72729456,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319157079,0.68632096,-0.003391746,0.0024027554,0.72728693,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319162157,0.686317,-0.0034015896,0.0024160026,0.72729063,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319167218,0.68631136,-0.0034189345,0.0024225987,0.7272959,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319172321,0.6863136,-0.003405113,0.0024135131,0.72729385,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319177371,0.68632174,-0.0033925858,0.0024137346,0.7272862,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319182453,0.6863195,-0.003404403,0.0024202012,0.72728825,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319187516,0.6863156,-0.003415693,0.0024152896,0.7272919,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319192602,0.6863138,-0.003396543,0.0024146258,0.72729367,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319197665,0.6863186,-0.0033849226,0.0024218059,0.72728914,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319203003,0.68632895,-0.0033983653,0.0024104929,0.7272793,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319207946,0.6863197,-0.0034150083,0.0024057857,0.727288,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319212951,0.6863073,-0.0034025728,0.002412946,0.7272998,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
319228112,0.68631864,-0.00340755,0.0023961628,0.72728914,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
