timestamp,ignore_thrust,ignore_attitude,ignore_bodyrate_x,ignore_bodyrate_y,ignore_bodyrate_z,ignore_position,ignore_velocity,ignore_acceleration_force,ignore_alt_hold
336889375,0,0,1,1,1,0,1,1,0
336991535,0,0,1,1,1,0,1,1,0
337089352,0,0,1,1,1,0,1,1,0
337191841,0,0,1,1,1,0,1,1,0
337385758,0,0,1,1,1,0,1,1,0
337489859,0,0,1,1,1,0,1,1,0
337589963,0,0,1,1,1,0,1,1,0
337889453,0,0,1,1,1,0,1,1,0
337989128,0,0,1,1,1,0,1,1,0
338089887,0,0,1,1,1,0,1,1,0
338194548,0,0,1,1,1,0,1,1,0
338291061,0,0,1,1,1,0,1,1,0
338394330,0,0,1,1,1,0,1,1,0
338489632,0,0,1,1,1,0,1,1,0
338589692,0,0,1,1,1,0,1,1,0
338690950,0,0,1,1,1,0,1,1,0
338789147,0,0,1,1,1,0,1,1,0
338889876,0,0,1,1,1,0,1,1,0
338989389,0,0,1,1,1,0,1,1,0
339089367,0,0,1,1,1,0,1,1,0
339189589,0,0,1,1,1,0,1,1,0
339289339,0,0,1,1,1,0,1,1,0
339389461,0,0,1,1,1,0,1,1,0
339493529,0,0,1,1,1,0,1,1,0
339589251,0,0,1,1,1,0,1,1,0
339690169,0,0,1,1,1,0,1,1,0
339790594,0,0,1,1,1,0,1,1,0
339989444,0,0,1,1,1,0,1,1,0
340089199,0,0,1,1,1,0,1,1,0
340188698,0,0,1,1,1,0,1,1,0
340289347,0,0,1,1,1,0,1,1,0
340388467,0,0,1,1,1,0,1,1,0
340493327,0,0,1,1,1,0,1,1,0
340588442,0,0,1,1,1,0,1,1,0
340691635,0,0,1,1,1,0,1,1,0
340790498,0,0,1,1,1,0,1,1,0
340988472,0,0,1,1,1,0,1,1,0
341188371,0,0,1,1,1,0,1,1,0
341287997,0,0,1,1,1,0,1,1,0
341388511,0,0,1,1,1,0,1,1,0
341489252,0,0,1,1,1,0,1,1,0
341593346,0,0,1,1,1,0,1,1,0
341689541,0,0,1,1,1,0,1,1,0
341988620,0,0,1,1,1,0,1,1,0
342089406,0,0,1,1,1,0,1,1,0
342188506,0,0,1,1,1,0,1,1,0
342388506,0,0,1,1,1,0,1,1,0
342490232,0,0,1,1,1,0,1,1,0
342588525,0,0,1,1,1,0,1,1,0
342688572,0,0,1,1,1,0,1,1,0
342789311,0,0,1,1,1,0,1,1,0
342888371,0,0,1,1,1,0,1,1,0
342993362,0,0,1,1,1,0,1,1,0
343093754,0,0,1,1,1,0,1,1,0
343188952,0,0,1,1,1,0,1,1,0
343293773,0,0,1,1,1,0,1,1,0
343388653,0,0,1,1,1,0,1,1,0
343493352,0,0,1,1,1,0,1,1,0
343593311,0,0,1,1,1,0,1,1,0
343693448,0,0,1,1,1,0,1,1,0
343788587,0,0,1,1,1,0,1,1,0
343888844,0,0,1,1,1,0,1,1,0
344088523,0,0,1,1,1,0,1,1,0
344192376,0,0,1,1,1,0,1,1,0
344587470,0,0,1,1,1,0,1,1,0
344693425,0,0,1,1,1,0,1,1,0
344892562,0,0,1,1,1,0,1,1,0
344987459,0,0,1,1,1,0,1,1,0
345092728,0,0,1,1,1,0,1,1,0
345194248,0,0,1,1,1,0,1,1,0
345288512,0,0,1,1,1,0,1,1,0
345387742,0,0,1,1,1,0,1,1,0
345487385,0,0,1,1,1,0,1,1,0
345592526,0,0,1,1,1,0,1,1,0
345687310,0,0,1,1,1,0,1,1,0
345893194,0,0,1,1,1,0,1,1,0
346089570,0,0,1,1,1,0,1,1,0
346189796,0,0,1,1,1,0,1,1,0
346290326,0,0,1,1,1,0,1,1,0
346391058,0,0,1,1,1,0,1,1,0
346489422,0,0,1,1,1,0,1,1,0
346590340,0,0,1,1,1,0,1,1,0
346690352,0,0,1,1,1,0,1,1,0
346786298,0,0,1,1,1,0,1,1,0
346889791,0,0,1,1,1,0,1,1,0
346990418,0,0,1,1,1,0,1,1,0
347090316,0,0,1,1,1,0,1,1,0
347189495,0,0,1,1,1,0,1,1,0
347294193,0,0,1,1,1,0,1,1,0
347391001,0,0,1,1,1,0,1,1,0
347489366,0,0,1,1,1,0,1,1,0
347690290,0,0,1,1,1,0,1,1,0
347789380,0,0,1,1,1,0,1,1,0
347889355,0,0,1,1,1,0,1,1,0
347989981,0,0,1,1,1,0,1,1,0
348791242,0,0,1,1,1,0,1,1,0
348889332,0,0,1,1,1,0,1,1,0
348989355,0,0,1,1,1,0,1,1,0
349089329,0,0,1,1,1,0,1,1,0
349189353,0,0,1,1,1,0,1,1,0
349289521,0,0,1,1,1,0,1,1,0
349389308,0,0,1,1,1,0,1,1,0
349490236,0,0,1,1,1,0,1,1,0
349594329,0,0,1,1,1,0,1,1,0
